datetime,BTC_transactions,BTC_av_trans_value_USD,BTC_tweets,BTC_google_trends,ETH_transactions,ETH_av_trans_value_USD,ETH_tweets,ETH_google_trends,DOGE_transactions,DOGE_av_trans_value_USD,DOGE_tweets,DOGE_google_trends
2021-03-09,299542.0,351313.0,85849.0,171.991,1275347.0,4569.0,13572.0,43.804,83394.0,27962.0,43324.0,4.172
2021-03-10,344539.0,274143.0,81908.0,170.42,1256065.0,4411.0,12506.0,40.108,56539.0,27181.0,26312.0,2.918
2021-03-11,291113.0,325750.0,95858.0,157.426,1284767.0,4371.0,16141.0,38.678,32179.0,34381.0,24055.0,2.778
2021-03-12,320594.0,248755.0,104787.0,154.201,1325679.0,5266.0,18020.0,35.198,28157.0,38131.0,21029.0,2.692
2021-03-13,276929.0,254221.0,154790.0,207.626,1293352.0,3420.0,17682.0,45.987,28950.0,52588.0,31438.0,3.41
2021-03-14,307893.0,257249.0,102059.0,196.531,1277890.0,2565.0,14700.0,44.883,31081.0,41104.0,34955.0,4.527
2021-03-15,292083.0,256907.0,116563.0,176.729,1321388.0,4956.0,14038.0,36.802,29274.0,34072.0,21040.0,3.282
2021-03-16,319344.0,253280.0,99951.0,162.274,1308992.0,4217.0,15452.0,35.007,29281.0,31783.0,20633.0,3.319
2021-03-17,295983.0,276690.0,106258.0,157.531,1272298.0,4004.0,12552.0,33.496,38325.0,33220.0,21433.0,3.208
2021-03-18,331566.0,230138.0,106755.0,155.945,1299760.0,3590.0,15854.0,33.263,36208.0,31460.0,20117.0,3.095
2021-03-19,316032.0,226492.0,106380.0,139.823,1291231.0,3089.0,17158.0,32.138,35079.0,28770.0,19991.0,2.952
2021-03-20,286794.0,237133.0,92396.0,128.959,1262309.0,2633.0,12673.0,32.791,35059.0,29928.0,26638.0,2.935
2021-03-21,234780.0,271008.0,80437.0,131.404,1206009.0,2943.0,13575.0,31.013,35182.0,23242.0,20658.0,2.236
2021-03-22,297259.0,248804.0,103950.0,138.508,1307460.0,3718.0,20654.0,31.456,38260.0,28785.0,17151.0,2.202
2021-03-23,314073.0,316802.0,94277.0,141.034,1298959.0,3291.0,16517.0,31.291,42129.0,25836.0,12740.0,2.443
2021-03-24,304941.0,296800.0,130216.0,158.532,1309468.0,3243.0,15197.0,31.812,41204.0,21997.0,16726.0,2.361
2021-03-25,318408.0,280559.0,137938.0,171.704,1349663.0,4989.0,18323.0,31.695,40502.0,19977.0,17854.0,2.322
2021-03-26,293474.0,263813.0,137602.0,142.016,1265836.0,3715.0,15693.0,26.865,43298.0,17906.0,15719.0,2.332
2021-03-27,288100.0,236188.0,106231.0,128.065,1230764.0,2656.0,12069.0,26.088,46549.0,12815.0,13110.0,2.56
2021-03-28,248446.0,206956.0,86361.0,124.396,1211918.0,2326.0,11965.0,26.303,46033.0,16367.0,13500.0,2.46
2021-03-29,303154.0,301762.0,104638.0,137.011,1269901.0,4220.0,22005.0,32.225,46835.0,13483.0,13601.0,2.517
2021-03-30,320944.0,272247.0,111290.0,145.353,1300973.0,4691.0,15532.0,35.737,46079.0,20062.0,15198.0,2.649
