,datetime,btc_google_adjusted,bitcoin_google_adjusted,eth_google_adjusted,ethereum_google_adjusted,doge_google_adjusted,dogecoin_google_adjusted,BTCUSD_close,BTCUSD_high,BTCUSD_low,BTCUSD_open,ETHUSD_close,ETHUSD_high,ETHUSD_low,ETHUSD_open,DOGEUSD_close,DOGEUSD_high,DOGEUSD_low,DOGEUSD_open,BTC_transactions,BTC_av_trans_value_USD,BTC_tweets,BTC_google_trends,ETH_transactions,ETH_av_trans_value_USD,ETH_tweets,ETH_google_trends,DOGE_transactions,DOGE_av_trans_value_USD,DOGE_tweets,DOGE_google_trends
59,2021-03-01,41.82613899267445,39.77088019346225,40.495232624192056,29.681062183888876,4.093714876651563,2.665804054974968,49631.24137077,49773.18922304,45125.10718387234,45308.47167451635,1564.70764686,1567.6945563516658,1416.416184615261,1424.3978476265108,0.05059866,0.05147869314944,0.04802913,0.04825084703297,280355.0,302693.0,89756.0,188.287,1185925.0,4240.0,11864.0,41.68,36782.0,23926.0,26241.0,2.289
60,2021-03-02,37.77578165939175,35.72766481987512,37.07026270075293,25.913598440900778,4.528445660012791,2.980157985429735,48378.98805435,50111.10562480771,47228.84534568842,49698.87226694,1492.60881427,1596.3737159986026,1462.183845415722,1568.28552677,0.05026221,0.05238174,0.04929915,0.05059612405642,338007.0,271594.0,103342.0,168.774,1240182.0,3933.0,11059.0,40.018,41484.0,34661.0,21596.0,2.667
61,2021-03-03,36.86651776824665,33.49822830546725,37.40604406579598,25.897218163757348,4.392592290212407,2.4300386071338926,50538.24341445,52522.24911288557,48276.38606021,48408.51901813,1575.85312451,1650.36055219,1481.9671088,1488.04604194,0.05059207,0.05212614,0.05008211,0.05027799957657,333250.0,283547.0,94227.0,160.235,1235048.0,3475.0,13188.0,38.032,46755.0,38241.0,17787.0,2.332
62,2021-03-04,34.88266927847553,31.94895886325162,32.167854771124375,21.86766998647442,4.229568246451946,2.450719786769074,48561.1661539,51724.20126156082,47656.92904602537,50383.58213215687,1541.91428551,1622.6457217660598,1511.1034334828587,1567.959876734917,0.05004843,0.05108673,0.04787886775306,0.05044230163843,289503.0,259089.0,81460.0,152.537,1234903.0,3904.0,10699.0,32.787,52428.0,29604.0,19234.0,2.212
63,2021-03-05,34.056065741070896,31.627768856938623,34.719793145451575,21.589205275036168,4.120885550611639,2.506558971784066,48927.3045548,49396.43086209414,46542.51494044,48527.0319807432,1533.27497556,1547.42244314,1451.937593781405,1541.541736103473,0.04960851,0.05064863860942,0.04816019223324,0.04998297769629,317631.0,267180.0,70950.0,146.861,1208640.0,3469.0,12095.0,31.562,56784.0,26818.0,18692.0,2.113
64,2021-03-06,29.40763643660719,27.38567422247657,32.90657377421909,22.55564162649833,4.775245948483488,2.427084152900295,48912.38173056,49142.05914912186,47270.69898443,48869.020363028045,1654.74151694,1669.10656145,1519.1410727,1531.0968893903878,0.05098429,0.05237435,0.04938261,0.04958670605773,287811.0,258644.0,40281.0,128.115,1160519.0,3745.0,9476.0,33.037,64315.0,26404.0,21096.0,2.153
65,2021-03-07,31.19698997640076,28.638613565988567,40.89817026224372,25.11096486087288,4.18730275362516,2.386371773561322,51206.69295308,51298.15119088,48918.680264898496,48918.680264898496,1723.15379607,1730.9241804726128,1637.327310663934,1655.39239561839,0.05212174,0.05212174,0.0505729,0.05097129772217,260593.0,410320.0,68935.0,137.583,1180104.0,7401.0,14052.0,36.563,72359.0,20392.0,23362.0,2.155
66,2021-03-08,33.21973745616739,31.03709745214011,40.96532653525233,27.68266837239084,6.065852961587134,3.917783581004218,52246.52230995,52314.0688013659,49508.37715258,51231.45404949706,1834.72788609,1835.1314876917315,1671.1465364291726,1739.540792181175,0.06194928,0.06194928,0.05167218,0.0523026,291800.0,340933.0,81828.0,146.514,1216417.0,4633.0,13060.0,41.685,89574.0,26848.0,63249.0,3.536
67,2021-03-09,40.61054555531469,36.2099470274968,44.726077823734514,32.44932902112796,5.262808597878197,3.4073129785232528,54824.11781138,54824.11781138,51987.85248741,52383.81716880824,1868.04878133,1868.04878133,1804.266414885488,1834.8373781666328,0.05799823,0.06219131355815,0.05605630746608,0.06219131355815,299542.0,351313.0,85849.0,171.991,1275347.0,4569.0,13572.0,43.804,83394.0,27962.0,43324.0,4.172
68,2021-03-10,39.05458595549421,35.207595552687195,38.1447630688907,28.649104723853004,4.359383688705647,2.564879898355279,56008.54940114,57231.299287,53290.89116852,54893.72070434047,1799.16622355,1873.8032620767365,1767.142344158803,1871.5399638010208,0.05600395,0.05861615350512,0.0547148,0.05798645,344539.0,274143.0,81908.0,170.42,1256065.0,4411.0,12506.0,40.108,56539.0,27181.0,26312.0,2.918
